Index,DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
206,9/21/2020,502,22,3
207,9/22/2020,386,26,3
208,9/23/2020,506,33,4
209,9/24/2020,459,30,2
210,9/25/2020,433,39,3
211,9/26/2020,267,21,6
212,9/27/2020,355,30,2
213,9/28/2020,423,35,4
214,9/29/2020,660,39,7
215,9/30/2020,542,36,7
216,10/1/2020,567,29,5
217,10/2/2020,535,44,4
218,10/3/2020,240,17,4
219,10/4/2020,276,30,6
220,10/5/2020,494,28,1
221,10/6/2020,105,3,0
222,10/7/2020,14,0,0
